NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
V.o.f. Fa. G. Besselsen en Zonen;VOF;Nieuw Vellerseweg 7;3771 RA;BARNEVELD;;EUR;01-01-18;4;;
Sloop- en Grondwerken M. Heezen B.V.;BV;Boven Zijde 7;5626 EB;EINDHOVEN;;EUR;23-02-20;14;;
Transportbedrijf Piet Spies B.V.;BV;Nedereindsestraat 44;4041 XG;KESTEREN;;EUR;01-01-18;7;;
"Afvalcombinatie ""De Vallei"" N.V., h.o.n. ACV";Naamloze vennootschap gewone structuur;Neonstraat 4;6718 WV;EDE;;EUR;03-09-19;20;;
V.o.f. H. Harteveld Transporten;VOF;Deelweg 14;6718 SH;EDE;;EUR;01-01-18;1;;
Ros Transport V.o.f.;VOF;Oude Bredaseweg 1;4854 BR;BAVEL;;EUR;07-02-16;18;;
A. Heins, h.o.n. Heins Transport Stuifzand;Eenmanszaak;Weberstraat 16;7903 BD;HOOGEVEEN;;EUR;02-03-19;5;;
Gebr. Van Engelen B.V.;BV;Kleiweg 6;7621 GK;BORNE;;NAT;;4;;
J.A.M. Teunissen, h.o.n. Teunissen Transporten Elst;Eenmanszaak;Edisonweg 13;6662 NW;ELST;;EUR;23-02-20;10;;
Van den Gruijthuijzen Internationaal Transport B.V.;BV;Dorpstraat 130;5575 AH;LUYKSGESTEL;;EUR;01-01-18;1;;
J. Jalving, h.o.n. Transportbedrijf Jalving;Eenmanszaak;De Morinel 80;8251 HX;DRONTEN;;EUR;01-01-18;1;;
Herpertz B.V.;BV;Geusert 6;6093 NR;HEYTHUYSEN;;EUR;25-05-19;13;;
Jan Arts Handelsonderneming B.V.;BV;Sint Cornelisstraat 3;5827 AJ;VORTUM-MULLEM;;EUR;20-12-15;1;;
Gemeente Groningen;Gemeente/gemeentelijke dienst;Grote Markt 1;9712 HN;GRONINGEN;;EUR;24-09-19;85;;
J. Kuipers, h.o.n. Kuipers Transport;Eenmanszaak;Havenstraat 12  A;7848 AA;SCHOONOORD;;EUR;01-01-18;1;;
Transportbedrijf Martin Slangen B.V.;BV;Bocholtzerweg 12;6369 TG;SIMPELVELD;;EUR;01-01-18;10;;
Cevotrans B.V.;BV;Beneluxstraat 1;5061 KD;OISTERWIJK;;EUR;01-01-18;14;;
J.H.M. Leijssenaar, h.o.n. Transportbedrijf Marcel Leijssenaar;Eenmanszaak;Hoogenboschweg 45;6442 PT;BRUNSSUM;;EUR;01-01-18;1;;
Van der Wegen Transport B.V.;BV;Peelweg 19;5813 AD;YSSELSTEYN;;EUR;23-10-17;6;;
W.J.M. Croonen & Zn. B.V.;BV;Van Heemstraweg 40;6654 KE;AFFERDEN;;NAT;;3;;
All-In Transport International B.V.;BV;Bellsingel 11;1119 NT;SCHIPHOL-RIJK;;EUR;01-01-18;17;;
Holland Meel B.V.;BV;Oosteinde 304;7671 AG;VRIEZENVEEN;;EUR;23-02-20;1;;
Vels Transport Westendorp B.V.;BV;Lankerdijk 3;7054 BW;WESTENDORP;;EUR;12-04-19;17;;
Bosma Transport & Opslag B.V.;BV;Energielaan 8;8447 ST;HEERENVEEN;;EUR;01-01-18;6;;
Transportbedrijf Wil de Jong V.o.f.;VOF;Corneliusstraat 1;4651 XN;STEENBERGEN;;EUR;28-07-18;1;;
J.G.M. Huppertz, h.o.n. J. Huppertz;Eenmanszaak;Prins Bernhardplein 113;6291 HA;VAALS;;NAT;;2;;
Hoogland Transport Schiedam B.V.;BV;Tinstraat 24;2984 AN;RIDDERKERK;;EUR;01-01-18;12;;
Transportbedrijf G.A.M. Bakker B.V.;BV;Agriport 101;1775 TA;MIDDENMEER;;EUR;01-01-18;27;;
GÇ Simons Internationaal Transport B.V.;BV;Bukkumweg 20;5081 CT;HILVARENBEEK;;EUR;01-01-18;110;;
Straten Transport V.o.f.;VOF;Snelliusstraat 10;6604 BZ;WIJCHEN;;EUR;18-11-18;1;;
Jac. de Kievit en Zn. B.V., h.o.n. De Kievit Verhuizingen;BV;Voltastraat 27;5928 PC;VENLO;;EUR;01-01-18;5;;
Flakkee Verhuizingen B.V.;BV;Lorentz 1;3241 LX;MIDDELHARNIS;;EUR;01-01-18;7;;
V.o.f. Cees de Pee Transport;VOF;2e Tochtweg 58;2913 LS;NIEUWERKERK A/D IJSSEL;;EUR;21-07-19;6;;
Familie M. Grinwis Transport  V.o.f.;VOF;Dijkstelweg 28;3253 TB;Ouddorp;;NAT;;3;;
Jan de Rijk Intermodal B.V.;BV;Sportparklaan 19;6071 RA;SWALMEN;;EUR;20-01-18;17;;
Versteeg Transport B.V.;BV;James Wattstraat 13;6902 PR;ZEVENAAR;;EUR;01-01-18;4;;
Van den Heuvel Logistiek B.V.;BV;Erfstraat 23;5405 BE;UDEN;;EUR;27-05-18;122;;
Wed. J. de Bruyn en Zonen B.V.;BV;Nieuwveenseweg 30;2421 LD;NIEUWKOOP;;EUR;01-01-18;69;;
Anfre Transport V.o.f.;VOF;Valkenburgseweg 33;2331 AA;LEIDEN;;EUR;01-01-18;1;;
Ton van Bergen B.V.;BV;Vlotlaan 26;2681 RX;MONSTER;;EUR;31-10-16;31;;
Van Schie B.V.;BV;Constructieweg 100;3641 SP;MIJDRECHT;;EUR;01-01-18;13;;
Ben Becker Internationaal Transportbedrijf B.V.;BV;Zuidergracht 45;3763 LS;SOEST;;EUR;01-01-18;129;;
Visser Duiven B.V.;BV;Impact 81;6921 RZ;DUIVEN;;EUR;01-01-18;57;;
Transportbedrijf R. v.d. Hoek B.V.;BV;Heveringseweg 60  A;3233 SE;OOSTVOORNE;;EUR;01-01-18;23;;
Goorden Wouw B.V.;BV;Donkenweg 6;4724 SN;WOUW;;EUR;01-01-18;29;;
Schut-Copex B.V.;BV;Weerlaan 5;2181 HG;HILLEGOM;;EUR;01-01-18;2;;
V.o.f. P.J. Vermeer Verhuizingen en Transporten;VOF;Capelseweg 112;2907 XC;CAPELLE A/D IJSSEL;;EUR;13-12-15;2;;
V.o.f. Tanktrans;VOF;Heydweg 4;6071 PT;SWALMEN;;EUR;01-01-18;1;;
A. Neleman, h.o.n. K. Neleman Bodedienst;Eenmanszaak;'s-Gravenweg 339 A;2905 LB;CAPELLE A/D IJSSEL;;EUR;23-02-20;1;;
Bakker & Schilder Transport B.V.;BV;Kanaalkade 68;1756 AD;'t ZAND;;EUR;01-01-18;26;;
L. Bakker en Zn. V.o.f.;VOF;Beulakerweg 133;8355 AG;GIETHOORN;;EUR;01-01-18;2;;
Internationaal Transportbedrijf P.W. Becx B.V.;BV;Wilhelminalaan 29;5512 BJ;VESSEM;;EUR;01-01-18;1;;
Th.M.G. Veeders, h.o.n. Th. Veeders Transport;Eenmanszaak;Oude Kerkstraat 8;6124 BD;PAPENHOVEN;;EUR;01-01-18;1;;
V.o.f. Transportbedrijf Hoogendonk;VOF;Vrouwe Van Loonstraat 25;2676 VB;MAASDIJK;;EUR;08-03-20;8;;
Transportbedrijf Groenen B.V.;BV;Waterland 77;2987 EN;RIDDERKERK;;EUR;27-09-15;12;;
P.J. de Caluwe, h.o.n.Transmiddenmeer;Eenmanszaak;Nijverheidsweg 5;1775 BB;MIDDENMEER;;EUR;01-01-18;2;;
P.J. Hoogendoorn Transport B.V.;BV;Mielweg 39;6741 ZV;LUNTEREN;;EUR;01-01-18;17;;
V.o.f. Transportbedrijf Firma C.N. Baak & Zonen;VOF;Flevoweg 22;2318 BZ;LEIDEN;;EUR;26-01-20;4;;
W. de Wolf, h.o.n. De Wolf Transport;Eenmanszaak;De Bun 12;8311 AB;ESPEL;;NAT;;2;;
C.J.M. Schavemaker, h.o.n. Cor Schavemaker Besteldienst;Eenmanszaak;Dorpsstraat 737;1566 EG;ASSENDELFT;;NAT;;1;;
Van den Heuvel Speciaaltransporten B.V.;BV;Geneneind 24;5761 RH;BAKEL;;EUR;01-01-18;5;;
Transportbedrijf Harrie van Erp Oss B.V.;BV;Molenweg 81  D;5349 AC;OSS;;EUR;01-01-18;12;;
Transportbedrijf L.A.H. Dassen V.o.f.;VOF;Rijksweg 226;6247 AP;GRONSVELD;;EUR;01-01-18;1;;
A. Jonkman & Zonen B.V.;BV;Jousterweg 7;8506 BE;HASKERHORNE;;EUR;01-01-18;6;;
Altenburg Vervoer B.V.;BV;Roggemole 12;8531 WB;LEMMER;;NAT;;1;;
V.o.f. Fa. Gebr. Slager;VOF;It Pypke 4;9074 BK;HALLUM;;EUR;29-12-19;2;;
Transportbedrijf Bosman B.V.;BV;Varsseveldseweg 290;7011 JD;GAANDEREN;;EUR;20-01-18;14;;
Paans Transporten V.o.f.;Eenmanszaak;Bolstrastraat 1;4251 LK;WERKENDAM;;EUR;01-01-18;1;;
Gemeente Dantumadiel;Gemeente/gemeentelijke dienst;Hynsteblom 4;9104 BR;DAMW∂LD;;NAT;;5;;
Gemeente Smallingerland;Gemeente/gemeentelijke dienst;Gauke Boelensstraat 2;9203 RM;DRACHTEN;;NAT;;12;;
Van Eeuwijk Transport B.V.;BV;Katoenstraat 6;7621 TC;BORNE;;NAT;;1;;
J.A. Wegstapel, h.o.n. J.W. Wegstapel en Zoon;Eenmanszaak;Dorperdijk 17 A;7451 MK;HOLTEN;;NAT;;3;;
Selman Transporten B.V.;BV;Nijverheidstraat 40;6681 LN;BEMMEL;;EUR;01-01-18;30;;
H. Nobbe, h.o.n. Meppeler Verhuisbedrijf Nobbe;Eenmanszaak;Olde Staphorst 4;7944 HW;MEPPEL;;EUR;25-02-16;2;;
Driessen Grondwerken B.V.;BV;Handelstraat 5;5961 PV;HORST;;EUR;01-01-18;7;;
V.o.f. Intravo;VOF;Bovenweg 39;1834 CB;SINT PANCRAS;;EUR;01-01-18;2;;
Milieu-Service Hoeksche Waard B.V.;BV;Ch. Huygensstraat 13;3291 CN;STRIJEN;;NAT;;11;;
D.J. de Jong, h.o.n. Transportbedrijf D.J. de Jong;Eenmanszaak;Noordwijkerweg 28;2231 NL;RIJNSBURG;;EUR;01-01-18;1;;
Hoefnagel en Zoon B.V.;BV;Veerweg 10;2957 CP;NIEUW LEKKERLAND;;EUR;19-09-16;5;;
Transportbedrijf A. Willems en Zonen B.V.;BV;Hoogeindsestraat 32;5447 PE;RIJKEVOORT;;EUR;01-01-18;57;;
A.J. van den Hoogen & Zn. B.V.;BV;Iepenweg 11-13;3421 TW;OUDEWATER;;EUR;01-01-18;14;;
Nederlands Cement Transport Cetra B.V.;BV;Amsterdamseweg 28;1422 AD;UITHOORN;;EUR;01-01-18;63;;
Transportbedrijf Groenewold V.o.f.;VOF;Oosterstraat 57;9502 EE;STADSKANAAL;;EUR;01-01-18;9;;
Van der Stelt Internationaal Transport B.V.;BV;Expeditiestraat 9;4283 JE;GIESSEN;;EUR;01-01-18;15;;
J.N. Kleinjan, h.o.n. Transportbedrijf J.N. Kleinjan;Eenmanszaak;Carnisseweg 55;2993 AD;BARENDRECHT;;NAT;;1;;
V.o.f. Fa. Janarie Transporten;VOF;Achterkade 7;4133 RB;VIANEN;;EUR;10-02-19;1;;
Van Staaveren Transport Amsterdam B.V.;BV;Klokkenbergweg 40;1101 AN;AMSTERDAM ZUIDOOST;;EUR;01-01-18;28;;
J.A.M. de Rijk B.V.;BV;Leemstraat 15;4705 RT;ROOSENDAAL;;EUR;01-01-18;60;;
Auto- en Transportbedrijf A.J. Mos V.o.f.;VOF;Meenteweg 8;7971 RZ;HAVELTE;;EUR;01-01-18;1;;
G4S Cash Solutions B.V.;BV;Ptolemaeuslaan 61;3528 BR;UTRECHT;;EUR;04-04-16;205;;
Greydanus Aardappelhandel en Transport Holding B.V.;BV;De Kuinder 12;8444 DC;HEERENVEEN;;EUR;01-01-18;6;;
Gemeente Almere;Gemeente/gemeentelijke dienst;Stadhuisplein 1;1300 AE;ALMERE;;NAT;;15;;
F. Hermsen Transport B.V.;BV;Bemmelseweg 75;6662 PE;ELST;;EUR;23-02-20;6;;
Internationaal Transportbedrijf R. van Heur B.V.;BV;Ellerweg 7;6037 RR;KELPEN-OLER;;EUR;01-01-18;26;;
P.A. Post Berkel B.V.;BV;Molenweg 41-43;2651 AC;BERKEL EN RODENRIJS;;EUR;01-01-18;13;;
Loonwerk-Transport-Grondverzet en Sloopbedrijf J. van Loon en Zn. V.o.f.;VOF;Duiksehoef 12;5175 PG;LOON OP ZAND;;EUR;31-07-17;2;;
H. Ulfman, h.o.n. Ulfman Containers;Eenmanszaak;Lambooysweg 2;7451 NJ;HOLTEN;;NAT;;1;;
Sestig Transport V.o.f.;VOF;De Zool 10;5107 RA;DONGEN;;EUR;15-12-18;8;;
Transportbedrijf G. Janssen B.V.;BV;Broekkant 45-47;6581 AD;MALDEN;;EUR;01-01-18;4;;
Beta Expresse B.V.;BV;Fien de la Marlaan 7;1948 AB;BEVERWIJK;;NAT;;3;;
Transportbedrijf Kerstens V.o.f.;VOF;Vijfhuizenberg 111;4708 AJ;ROOSENDAAL;;EUR;12-01-20;2;;
"Transportbedrijf ""A. Kant"" V.o.f.";VOF;Kruisstraat 3;4284 EB;RIJSWIJK;;EUR;01-01-18;1;;
Transportbedrijf B. Bolk B.V.;BV;Zuiderdiep 491;7876 BD;VALTHERMOND;;EUR;25-05-19;1;;
Eemtrans-Baarn B.V.;BV;Eemweg 33;3741 LA;BAARN;;EUR;01-01-18;9;;
V.o.f. Transportbedrijf W. Vallinga   ;VOF;De Slinken 8;8701 GV;Bolsward;;NAT;;2;;
Dako Oldeberkoop B.V.;BV;Zeeweegbree 9;8772 BD;WOLVEGA;;EUR;27-01-19;1;;
Transportbedrijf C. van den Boogaard B.V.;BV;Julianastraat 8;3295 AL;'s-GRAVENDEEL;;EUR;01-01-18;15;;
H. Dijkstra;Eenmanszaak;De Skieding 20;9222 LB;DRACHTSTERCOMPAGNIE;;EUR;14-10-18;1;;
H. Drijfhout, h.o.n. Gebr. Drijfhout;Eenmanszaak;Lageweg 9;9781 TD;BEDUM;;EUR;26-01-20;7;;
V.o.f. Transportbedrijf E. Groenhof;VOF;Hege Bouwen 43;8566 JB;NIJEMIRDUM;;EUR;14-08-16;1;;
J.E. Thijs, h.o.n. Transportbedrijf J.E. Thijs;Eenmanszaak;Zandstraat 9;4576 BV;KOEWACHT;;EUR;01-01-18;1;;
Transport- en Handelsonderneming A.M. de Jong B.V.;BV;Oranjelaan 37;3181 HA;ROZENBURG;;EUR;01-01-18;28;;
Pronk Transport V.o.f.;VOF;Lutinelaan 2 A;8899 BE;VLIELAND;;NAT;;5;;
Gemeente Veendam;Gemeente/gemeentelijke dienst;Raadhuisplein 5;9641 AW;VEENDAM;;NAT;;5;;
V.o.f. Fa. Ponne Transporten;VOF;Schoterlandseweg 41;8455 JE;KATLIJK;;EUR;24-09-17;10;;
Oenema Aannemings- en Transportbedrijf B.V.;BV;Dertien Aprilstraat 44;8431 GE;OOSTERWOLDE;;EUR;26-07-15;16;;
Van Nijnatten Transport V.o.f.;VOF;Sint Antoniusstraat 41 A;4721 AL;SCHIJF;;EUR;16-11-19;3;;
B.V. v/h Firma K. Punter en Zn.;BV;Oppers 14;8471 ZL;WOLVEGA;;NAT;;2;;
Brinks Transport Rijssen B.V.;BV;Molendijk Noord 56 A;7461 JE;RIJSSEN;;EUR;01-01-18;46;;
H. Swijnenburg, h.o.n. H. Swijnenburg Transportbedrijf;Eenmanszaak;B 106;2975 BK;OTTOLAND;;EUR;01-01-18;1;;
Combi-Trans B.V.;BV;Westerbuorren 9;9212 PK;BOORNBERGUM;;NAT;;10;;
H. Schipper, h.o.n. Schipper Transport;Eenmanszaak;Zuiderdiep 233;9521 AG;NIEUW-BUINEN;;EUR;15-11-15;6;;
V.o.f. Schipper Transport en Grondwerken;VOF;Sneeuwvink 1;7827 DM;EMMEN;;EUR;23-08-16;15;;
J. Schuit, h.o.n. Schuit Transport;Eenmanszaak;Oude Schoolsterweg 8;9991 CR;MIDDELSTUM;;EUR;17-11-19;4;;
Bloem Transport- en Handelsonderneming B.V.;BV;St. Antoniusstraat 10;6097 ND;HEEL;;EUR;22-03-20;5;;
V.o.f. Fa. J. van der Heide & Zn.;VOF;Nijedyk 57;8621 BE;HEEG;;EUR;10-10-17;5;;
J.H. Pleyte, h.o.n. Recycling Wolvega;Eenmanszaak;Oppers 58;8471 ZM;WOLVEGA;;NAT;;3;;
Holland Parcel Express B.V.;BV;Sluispolderweg 4 D;1505 HK;ZAANDAM;;EUR;01-01-18;6;;
V.o.f. Transportbedrijf H.B.J.W. Kamphof;VOF;Oude Dalfserweg 6 A;8141 PL;HEINO;;EUR;01-01-18;1;;
B.J.A. Tuinman-Nolle, h.o.n. Verhuisbedrijf Tuinman;Eenmanszaak;Laan van het Kinholt 469;7823 GL;EMMEN;;EUR;01-01-18;1;;
Udinga Rijdende Melk Ontvangst V.o.f.;VOF;Vaart Nz 67;8426 AT;APPELSCHA;;EUR;19-07-15;3;;
Gebr. de Mooij Transport B.V.;BV;Rijnsburgerweg 68;2341 AB;OEGSTGEEST;;EUR;01-01-18;23;;
V.o.f. Transportbedrijf F. van Wieren en Zn.;VOF;Foijingaweg 14;9293 LK;KOLLUMERPOMP;;EUR;01-01-18;1;;
Transportbedrijf Steven van den Brink B.V.;BV;Tolweg 13;3851 SL;ERMELO;;EUR;01-01-18;290;;
V.o.f. Tj. van der Woude Verhuizingen;VOF;Felland-Noord 5;9753 TB;HAREN;;EUR;11-01-20;3;;
Zwaar Transport Zeeland ( Z.T.Z. ) B.V.;BV;Duitslandweg 11;4389 PJ;RITTHEM;;EUR;01-01-18;10;;
V.o.f. Vogel;VOF;Nijverheidsweg 4;9965 TP;LEENS;;EUR;25-05-19;6;;
Bert Ooms Transport en Logistiek B.V.;BV;Weberstraat 1;1446 VV;PURMEREND;;EUR;01-01-18;1;;
V.o.f. Fa. W. Voogd en Zn.;VOF;Van der Munniklaan 23;9965 RP;LEENS;;EUR;23-08-15;1;;
S.G. de Vries, h.o.n. S.G. de Vries Transport;Eenmanszaak;Uithof 12;9851 AL;BURUM;;EUR;27-12-15;2;;
Nijkamp Transport B.V.;BV;Langeveenseweg 151;7678 VJ;GEESTEREN;;EUR;01-01-18;28;;
R. de Jong, h.o.n. R. de Jong Transport;Eenmanszaak;De Alde Mar 17;9035 VP;DRONRIJP;;EUR;05-10-19;1;;
Gemeente Kollumerland c.a.;Gemeente/gemeentelijke dienst;Van Limburg Stirumweg 18;9291 KB;KOLLUM;;EUR;08-04-19;5;;
Transportbedrijf Gebr. Verhaar B.V.;BV;Lekdijk 70  A;2957 CC;NIEUW LEKKERLAND;;EUR;01-01-18;5;;
Kregel Transport V.o.f.;VOF;Esweg 28;9471 BK;ZUIDLAREN;;EUR;21-11-17;1;;
H.J. van Oort Transport Eck en Wiel B.V.;BV;Homoetsestraat 72;4024 HJ;ECK EN WIEL;;EUR;01-01-18;80;;
AB Texel B.V.;BV;Schilderweg 263;1792 CJ;OUDESCHILD;;EUR;01-01-18;250;;
Jan van Dam Transport B.V.;BV;Wilgenweg 20;3421 TV;OUDEWATER;;EUR;01-01-18;21;;
Van de Brug Internationaal Tanktransport B.V.;BV;Voorthuizerstraat 190;3881 SM;PUTTEN;;EUR;01-01-18;85;;
Transportbedrijf E. Boudewijn en Zn. B.V.;BV;Zoelensestraat 40  A;4013 CS;KAPEL-AVEZAATH;;EUR;01-01-18;15;;
RMO Transportbedrijf De Vries B.V.;BV;Kerkeweg 15;8486 GE;OLDELAMER;;NAT;;2;;
Huiskamp's Aannemingsbedrijf van Transporten en Grondwerken B.V.;BV;Ir. E.L.C. Schiffstraat 250;7547 RD;ENSCHEDE;;EUR;01-01-18;10;;
Van der Sterren Transport- en Containerverhuurbedrijf B.V.;BV;Bremweg 4  A;5961 NE;HORST;;EUR;01-01-18;16;;
Van Assouw Meubeltransport Oirschot B.V.;BV;de Stad 13;5688 NX;OIRSCHOT;;EUR;01-01-18;10;;
Potijk Holding B.V.;BV;Delmaweg 6;7678 RL;GEESTEREN;;EUR;01-01-18;7;;
Internationaal Transportbedr. W.H. v.d. Weit-graven V.o.f.;VOF;Kerkwegje 15;3882 BA;PUTTEN;;EUR;01-01-18;4;;
V.o.f. fa. Cnossen;VOF;Riperwei 66;8623 XP;JUTRIJP;;NAT;;3;;
Griffioen Fourage & Transport B.V.;BV;Kleiweg 28;1396 HX;BAAMBRUGGE;;EUR;01-01-18;2;;
Van Goor B.V.;BV;Willem Moesweg 10;7924 PA;VEENINGEN;;EUR;01-01-18;52;;
V.o.f. Van der Wielen;VOF;Krijthestraat 8;9863 PN;DOEZUM;;NAT;;1;;
V.o.f. Fa. F. van der Werf en Zn.;VOF;De Burde 19;8574 TG;BAKHUIZEN;;EUR;28-04-19;4;;
V.o.f. J. Moerkerken;VOF;Nachtegaalplein 32;3082 NK;ROTTERDAM;;EUR;30-03-19;7;;
A.J. Kaap, h.o.n. Kampstra Transport;Eenmanszaak;Oude Oosterweg 3;9967 RZ;EENRUM;;EUR;18-11-18;4;;
W. Remmink en Zonen Transport B.V.;BV;Esweg 73 A;7683 VJ;DEN HAM;;EUR;19-07-15;19;;
V.o.f. Firma Gebr. J. en L. de Vries;VOF;Hamerenweg 14;9077 PM;VROUWENPAROCHIE;;EUR;12-04-19;2;;
Transport- en Handelsonderneming Zijlstra B.V.;BV;Roptawei 58;9123 JC;METSLAWIER;;NAT;;9;;
Heijboer Etten-Leur B.V.;BV;Tussendonk 15;4878 AM;ETTEN-LEUR;;EUR;01-01-18;95;;
Wit Transport Uithuizermeeden V.o.f.;VOF;Kaapweg 13;9982 EG;UITHUIZERMEEDEN;;EUR;28-07-18;3;;
Transportbedrijf H.G.W. Welte B.V.;BV;Beerseweg 9;5688 HD;OIRSCHOT;;EUR;01-01-18;30;;
Sanders Transport Nieuwkoop B.V.;BV;Denemarkenweg 19;2411 RK;BODEGRAVEN;;EUR;01-01-18;1;;
Fouragehandel Verhoeven B.V.;BV;De Branten 8;6027 NL;SOERENDONK;;EUR;01-01-18;8;;
Nico Bakker Transporten B.V.;BV;De Witbogt 8;5652 AG;EINDHOVEN;;EUR;01-01-18;12;;
V.O.F. B. Steenbergen;VOF;Beukemastraat 18;7906 AM;HOOGEVEEN;;NAT;;1;;
Transportbedrijf G.J. Vink B.V.;BV;Wanraay 41;6673 DM;ANDELST;;EUR;01-01-18;1;;
Sturm B.V.;BV;Sluispolderweg 3;1505 HJ;ZAANDAM;;NAT;;3;;
"Overijsselse Transport Centrale ""O.T.C."" B.V.";BV;Saffierstraat 8;7554 TG;HENGELO;;EUR;28-01-18;7;;
V.o.f. Transportbedrijf De Roo;VOF;Underom 3;9173 GD;HOGEBEINTUM;;EUR;14-11-16;2;;
Knufing Transport B.V.;BV;James Wattstraat 4;7131 ME;LICHTENVOORDE;;EUR;01-01-18;15;;
Rumping Transport B.V.;BV;Duiveland 11;1948 RB;BEVERWIJK;;EUR;01-01-18;29;;
Ruma Handelsonderneming V.o.f., h.o.n. Ruiter Makkum Handel & Transport;VOF;Ds. L Touwlaan 39;8754 BR;MAKKUM;;EUR;21-07-16;2;;
De Vlas Transport B.V.;BV;Korte Lijnbaan 35;8861 NS;HARLINGEN;;EUR;01-01-18;47;;
Transportbedrijf Gebrs. Van Zelst B.V.;BV;Nieuwevaart 54 A;5161 AS;SPRANG-CAPELLE;;EUR;30-11-19;2;;
A.F.J. Kruiter, h.o.n. Kruiter  Transport;Eenmanszaak;Arendshorst 23;9502 HG;STADSKANAAL;;EUR;01-01-18;1;;
UTS Bernardt B.V.;BV;Business Park Stein 161;6181 MA;ELSLOO;;EUR;01-01-18;14;;
V.o.f. Firma J. Meindersma en Zonen;VOF;Master fan Loanstrjitte 27;9123 JN;METSLAWIER;;EUR;01-09-18;6;;
V.o.f. Firma B.J. Hovenga;VOF;Roptawei 13;9123 JA;METSLAWIER;;EUR;19-09-17;13;;
Van Schijndel Transport B.V.;BV;Industrieweg 1;5268 BC;HELVOIRT;;EUR;01-01-18;34;;
Eduard Strang Verhuizingen B.V.;BV;De Ketting 6;5261 LJ;VUGHT;;EUR;01-01-18;10;;
Holwerda Transport Almere B.V.;BV;De Steiger 139;1351 AM;ALMERE;;EUR;01-01-18;38;;
V.o.f. Fa. J.J. Boekema;VOF;Yttingwei 2;8711 JH;WORKUM;;EUR;30-05-16;4;;
Eurotrans Goor B.V.;BV;Wheedwarsweg 20;7471 GG;GOOR;;EUR;01-01-18;1;;
Transportonderneming Oosting B.V.;BV;Exloerkijl Noord 1;9571 AM;TWEEDE EXLOERMOND;;EUR;01-01-18;5;;
B.V. Diep-Transport;BV;Albert Plesmanweg 73;3088 GB;ROTTERDAM;;EUR;01-01-18;7;;
J. Boltje;Eenmanszaak;Leeuwarderstraatweg 10;8441 PE;HEERENVEEN;;NAT;;1;;
V.o.f. Paul van Buuren Transport;VOF;Werve 72;3155 GM;MAASLAND;;EUR;01-01-18;1;;
Transportbedrijf A. Berger V.o.f.;VOF;Hasker Utgongen 9;8465 SJ;OUDEHASKE;;EUR;31-01-16;4;;
Franken Transport B.V.;BV;De Flammert 1304;5854 ND;BERGEN;;EUR;01-01-18;100;;
H. Bronkhorst Transportbedrijf B.V.;BV;Elspeterweg 63;3888 MT;UDDEL;;EUR;01-01-18;31;;
A. van den Bosch, h.o.n. Aalt van den Bosch Transport;Eenmanszaak;Grevensweg 4;8085 PZ;DOORNSPIJK;;EUR;21-11-17;1;;
Transportbedrijf Hazewinkel en Slebos B.V.;BV;Eekboerplein 5;7575 BA;OLDENZAAL;;EUR;19-12-17;23;;
V.o.f. Transportbedrijf Peter Herben;VOF;Lokerstraat 6;6301 AL;VALKENBURG;;EUR;01-01-18;2;;
Kanters Zand en Grind B.V.;BV;Barchemseweg 84 A;7261 DE;RUURLO;;EUR;27-02-20;5;;
V.o.f. R.A. Posthuma;VOF;Gaardstraat 20;6414 TJ;HEERLEN;;EUR;01-01-18;1;;
H. Kor, h.o.n. Transko;Eenmanszaak;Hoofdweg 126;9697 NR;BLIJHAM;;EUR;01-01-18;1;;
V.O.F. Transportbedrijf E.J. Mol;VOF;Keizerswoert 11;3881 LE;PUTTEN;;NAT;;2;;
Gemeente Losser;Gemeente/gemeentelijke dienst;Raadhuisplein 1;7581 AG;LOSSER;;NAT;;3;;
J. Bouwman Jr. Oosterbeek B.V.;BV;Klingelbeekseweg 59;6862 VS;OOSTERBEEK;;NAT;;3;;
H.J. Kraay B.V.;BV;Bulderweg 10;3862 PK;NIJKERK;;EUR;01-01-18;1;;
I.T.C. Holland Transport B.V.;BV;Vorstengrafdonk 71;5342 LW;OSS;;EUR;01-01-18;65;;
M. Lesterhuis en Zonen B.V.;BV;Scheemderzwaag 1;9679 TM;SCHEEMDA;;EUR;01-01-18;1;;
J. Bronsema;Eenmanszaak;Hoflaan 42;9861 BS;GROOTEGAST;;EUR;01-01-18;1;;
V.o.f. Van Laar Transporten;VOF;Delpad 1;6706 AH;WAGENINGEN;;EUR;03-02-18;3;;
G. van Dulst, h.o.n. Van Dulst Transport;Eenmanszaak;Dorpsstraat 16;5314 AE;BRUCHEM;;EUR;30-03-19;1;;
V.o.f. Transportbedrijf Bennenbroek;VOF;Leembaan 33;5753 CW;DEURNE;;NAT;;1;;
Transportbedrijf Reuten B.V.;BV;Newtonweg 19;6101 WX;ECHT;;EUR;02-06-18;5;;
W.J. van Bekkum B.V.;BV;Koelenhofstraat 6;4004 JR;TIEL;;EUR;01-01-18;2;;
J.G.M. Geraads, h.o.n. J. Geraads-Sevriens;Eenmanszaak;Heuvel 2;6102 RG;ECHT;;NAT;;3;;
L.P.M. Cleutjens, h.o.n. L. Cleutjens;Eenmanszaak;Bungalowpark Rothenbach 42;6063 NM;VLODROP;;EUR;01-01-18;1;;
